,clk_period_design,wns,sim_clk,decoders,decoders_per_subunit,C,vth,addon,tech,design_name,power_folder,is_nominal_gf22,is_ssg_asap7,power_type,power_clock_network,power_register,power_combinational,power_net_switching,power_cell_internal,power_cell_leakage,power_total,power_lut_int_power,power_lut_switch_power,power_lut_leak_power,power_lut_total_power,power_fp_adder_int_power,power_fp_adder_switch_power,power_fp_adder_leak_power,power_fp_adder_total_power,power_encoder_4_int_power,power_encoder_4_switch_power,power_encoder_4_leak_power,power_encoder_4_total_power,power_encoder_int_power,power_encoder_switch_power,power_encoder_leak_power,power_encoder_total_power,power_decoder_int_power,power_decoder_switch_power,power_decoder_leak_power,power_decoder_total_power,instance_count,area,area_lut,instance_count_lut,area_fp_adder,instance_count_fp_adder,area_encoder_4,instance_count_encoder_4,area_encoder,instance_count_encoder,area_decoder,instance_count_decoder,utilization
100,1500,0,1500,8,4,16,SL,,7,7_8_4_16_1500_TT_SL,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_1500_TT_SL-1500-execute,False,False,execute,2.378e-03,1.044e-03,0.0160,8.594e-03,8.637e-03,2.234e-03,0.0195,,,,,,,,,,,,,,,,,,,,,149288,20568.9102,,,,,,,,,,,0.4471
101,1500,0,1500,8,4,16,SL,,7,7_8_4_16_1500_TT_SL,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_1500_TT_SL-1500-write,False,False,write,2.638e-03,8.144e-04,2.532e-03,1.346e-03,2.439e-03,2.200e-03,5.985e-03,,,,,,,,,,,,,,,,,,,,,149288,20568.9102,,,,,,,,,,,0.4471
102,1500,200,1700,8,4,16,SL,,7,7_8_4_16_1500_TT_SL,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_1500_TT_SL-1700-execute,False,False,execute,2.127e-03,1.005e-03,0.0143,7.583e-03,7.621e-03,2.234e-03,0.0174,,,,,,,,,,,,,,,,,,,,,149288,20568.9102,,,,,,,,,,,0.4471
103,1500,200,1700,8,4,16,SL,,7,7_8_4_16_1500_TT_SL,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_1500_TT_SL-1700-write,False,False,write,2.357e-03,8.058e-04,2.377e-03,1.188e-03,2.152e-03,2.200e-03,5.539e-03,,,,,,,,,,,,,,,,,,,,,149288,20568.9102,,,,,,,,,,,0.4471
104,1600,0,1600,8,4,16,L,,7,7_8_4_16_1600_TT_L,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_1600_TT_L-1600-execute,False,False,execute,1.721e-03,3.387e-04,0.0114,7.878e-03,5.367e-03,2.209e-04,0.0135,,,,,,,,,,,,,,,,,,,,,149040,20563.1953,,,,,,,,,,,0.4472
105,1600,0,1600,8,4,16,L,,7,7_8_4_16_1600_TT_L,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_1600_TT_L-1600-write,False,False,write,1.917e-03,1.226e-04,1.137e-03,1.254e-03,1.706e-03,2.170e-04,3.177e-03,,,,,,,,,,,,,,,,,,,,,149040,20563.1953,,,,,,,,,,,0.4472
106,1600,200,1800,8,4,16,L,,7,7_8_4_16_1600_TT_L,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_1600_TT_L-1800-execute,False,False,execute,1.532e-03,3.089e-04,0.0102,7.003e-03,4.771e-03,2.209e-04,0.0120,,,,,,,,,,,,,,,,,,,,,149040,20563.1953,,,,,,,,,,,0.4472
107,1600,200,1800,8,4,16,L,,7,7_8_4_16_1600_TT_L,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_1600_TT_L-1800-write,False,False,write,1.706e-03,1.171e-04,1.024e-03,1.114e-03,1.516e-03,2.170e-04,2.847e-03,,,,,,,,,,,,,,,,,,,,,149040,20563.1953,,,,,,,,,,,0.4472
108,2000,0,2000,8,4,16,SL,ssg,7,7_8_4_16_2000_TT_ssg_SL,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_2000_TT_ssg_SL-2000-execute,False,True,execute,3.420e-03,4.586e-03,0.0181,5.093e-03,6.802e-03,0.0142,0.0261,,,,,,,,,,,,,,,,,,,,,148998,20705.627,,,,,,,,,,,0.4536
109,2000,0,2000,8,4,16,SL,ssg,7,7_8_4_16_2000_TT_ssg_SL,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_2000_TT_ssg_SL-2000-write,False,True,write,3.600e-03,4.657e-03,8.776e-03,8.723e-04,2.111e-03,0.0140,0.0170,,,,,,,,,,,,,,,,,,,,,148998,20705.627,,,,,,,,,,,0.4536
110,2000,200,2200,8,4,16,SL,ssg,7,7_8_4_16_2000_TT_ssg_SL,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_2000_TT_ssg_SL-2200-execute,False,True,execute,3.262e-03,4.566e-03,0.0172,4.630e-03,6.184e-03,0.0142,0.0250,,,,,,,,,,,,,,,,,,,,,148998,20705.627,,,,,,,,,,,0.4536
111,2000,200,2200,8,4,16,SL,ssg,7,7_8_4_16_2000_TT_ssg_SL,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_2000_TT_ssg_SL-2200-write,False,True,write,3.426e-03,4.646e-03,8.689e-03,7.930e-04,1.919e-03,0.0140,0.0168,,,,,,,,,,,,,,,,,,,,,148998,20705.627,,,,,,,,,,,0.4536
112,2100,48,2148,8,4,16,L,ssg,7,7_8_4_16_2100_TT_ssg_L,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_2100_TT_ssg_L-2148-execute,False,True,execute,1.475e-03,8.360e-04,9.011e-03,4.888e-03,4.134e-03,2.301e-03,0.0113,,,,,,,,,,,,,,,,,,,,,151010,21077.8105,,,,,,,,,,,0.457
113,2100,48,2148,8,4,16,L,ssg,7,7_8_4_16_2100_TT_ssg_L,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_2100_TT_ssg_L-2148-write,False,True,write,1.596e-03,7.483e-04,1.995e-03,7.791e-04,1.280e-03,2.280e-03,4.339e-03,,,,,,,,,,,,,,,,,,,,,151010,21077.8105,,,,,,,,,,,0.457
114,2100,248,2348,8,4,16,L,ssg,7,7_8_4_16_2100_TT_ssg_L,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_2100_TT_ssg_L-2348-execute,False,True,execute,1.372e-03,8.229e-04,8.359e-03,4.471e-03,3.782e-03,2.301e-03,0.0106,,,,,,,,,,,,,,,,,,,,,151010,21077.8105,,,,,,,,,,,0.457
115,2100,248,2348,8,4,16,L,ssg,7,7_8_4_16_2100_TT_ssg_L,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_2100_TT_ssg_L-2348-write,False,True,write,1.482e-03,7.448e-04,1.937e-03,7.127e-04,1.171e-03,2.280e-03,4.164e-03,,,,,,,,,,,,,,,,,,,,,151010,21077.8105,,,,,,,,,,,0.457
116,2100,0,2100,8,4,16,SL,ssg,7,7_8_4_16_2100_TT_ssg_SL,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_2100_TT_ssg_SL-2100-execute,False,True,execute,3.352e-03,4.577e-03,0.0175,4.806e-03,6.450e-03,0.0141,0.0254,,,,,,,,,,,,,,,,,,,,,148792,20682.168,,,,,,,,,,,0.4531
117,2100,0,2100,8,4,16,SL,ssg,7,7_8_4_16_2100_TT_ssg_SL,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_2100_TT_ssg_SL-2100-write,False,True,write,3.522e-03,4.651e-03,8.682e-03,8.286e-04,2.026e-03,0.0140,0.0169,,,,,,,,,,,,,,,,,,,,,148792,20682.168,,,,,,,,,,,0.4531
118,2100,200,2300,8,4,16,SL,ssg,7,7_8_4_16_2100_TT_ssg_SL,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_2100_TT_ssg_SL-2300-execute,False,True,execute,3.207e-03,4.559e-03,0.0166,4.388e-03,5.890e-03,0.0141,0.0244,,,,,,,,,,,,,,,,,,,,,148792,20682.168,,,,,,,,,,,0.4531
119,2100,200,2300,8,4,16,SL,ssg,7,7_8_4_16_2100_TT_ssg_SL,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_2100_TT_ssg_SL-2300-write,False,True,write,3.364e-03,4.641e-03,8.604e-03,7.570e-04,1.850e-03,0.0140,0.0166,,,,,,,,,,,,,,,,,,,,,148792,20682.168,,,,,,,,,,,0.4531
120,2200,0,2200,8,4,16,L,ssg,7,7_8_4_16_2200_TT_ssg_L,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_2200_TT_ssg_L-2200-execute,False,True,execute,1.447e-03,8.335e-04,8.813e-03,4.778e-03,4.011e-03,2.305e-03,0.0111,,,,,,,,,,,,,,,,,,,,,150931,21088.0742,,,,,,,,,,,0.4572
121,2200,0,2200,8,4,16,L,ssg,7,7_8_4_16_2200_TT_ssg_L,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_2200_TT_ssg_L-2200-write,False,True,write,1.564e-03,7.472e-04,2.009e-03,7.660e-04,1.271e-03,2.283e-03,4.320e-03,,,,,,,,,,,,,,,,,,,,,150931,21088.0742,,,,,,,,,,,0.4572
122,2200,200,2400,8,4,16,L,ssg,7,7_8_4_16_2200_TT_ssg_L,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_2200_TT_ssg_L-2400-execute,False,True,execute,1.348e-03,8.209e-04,8.192e-03,4.379e-03,3.677e-03,2.305e-03,0.0104,,,,,,,,,,,,,,,,,,,,,150931,21088.0742,,,,,,,,,,,0.4572
123,2200,200,2400,8,4,16,L,ssg,7,7_8_4_16_2200_TT_ssg_L,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_2200_TT_ssg_L-2400-write,False,True,write,1.456e-03,7.439e-04,1.950e-03,7.021e-04,1.165e-03,2.283e-03,4.150e-03,,,,,,,,,,,,,,,,,,,,,150931,21088.0742,,,,,,,,,,,0.4572
124,1400,200,1600,8,4,32,SL,,7,7_8_4_32_1400_TT_SL,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_32_1400_TT_SL-1600-execute,False,False,execute,3.266e-03,1.734e-03,0.0345,0.0193,0.0158,4.377e-03,0.0395,,,,,,,,,,,,,,,,,,,,,298815,42097.1992,,,,,,,,,,,0.4442
125,1400,200,1600,8,4,32,SL,,7,7_8_4_32_1400_TT_SL,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_32_1400_TT_SL-1600-write,False,False,write,3.524e-03,1.538e-03,4.627e-03,2.149e-03,3.216e-03,4.323e-03,9.688e-03,,,,,,,,,,,,,,,,,,,,,298815,42097.1992,,,,,,,,,,,0.4442
126,1400,400,1800,8,4,32,SL,,7,7_8_4_32_1400_TT_SL,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_32_1400_TT_SL-1800-execute,False,False,execute,2.957e-03,1.695e-03,0.0309,0.0171,0.0141,4.377e-03,0.0356,,,,,,,,,,,,,,,,,,,,,298815,42097.1992,,,,,,,,,,,0.4442
